,Steam_Id,Name,Description,Copies_Sold
0,1989890,X-Plane 11 - Add-on: Globall Art - SBGR - São Paulo - Guarulhos International Airport,"This scenery was built based on studies and research carried out by Globall Art. This is a replica of the “Real” Airport of Guarulhos, everything was made respecting the Aerodrome and its charters, general lighting, runways, taxiways, patios, floors, buildings, hangars, terminals, among others. We do not include or remove in this scenery any object, lighting and pavement that is not present or absent from the real airport.Features:Accurate replica São Paulo International Airport, Guarulhos, updated 2022Precise modeling, based on original references, plans and other studiesFully customized pavement, with ambient occlusion included in texturesCustom Jetways compatible with SAM pluginsAuto Gate Marginal Compatible Custom JetwaysStandard VGDS system- Controlled by Dataref Marginal Plugins- Controlled by Dataref SAM PluginsStatic objects, vehicles and aircraft are present in the sceneAvenues and streets with custom and standard vehicle traffic- Controlled by the Marginal Ground Traffic PluginHDR lighting with custom night texturesCustom textures with ambient occlusionX-Plane standard animated traffic serviceStandard Approach Light Systems (ALS)Included taxi routes for aircraft, “taxi route""Compatible taxi routes configured for World Traffic (WT3) and other pluginsRamp Start set for airlinesTerminal 2 and 3 with rendered interiorCompatible with Mega São Paulo – Paulo RicardoCompatible with SBSP Congonhas Globall ArtPackage included:BR-A-SBGR São Paulo/Guarulhos International AirportBR-D-SBSP MeshInstruction Manual",
1,1989900,Femdom Waifu VR: Latex Lingerie Pack,"IMPORTANT NOTE:TO ACTIVATE THIS DLC IN THE STANDALONE .APK VERSION OF THE GAME, YOU NEED TO LOGIN ON PC AT LEAST ONCE.What could be hotter than a dominatrix wearing a tight, sexy latex suit? Just imagine it. I'll bet you're drooling already. In this customization pack you will find a shiny latex lingerie set (with matching footwear options) in 5 different colours.Have fun!",
2,1989920,白娘子,"""White lady"" is a 3D stand-alone role-playing game developed by broken DuanQiaoCanXue studio. This game adopts the full real-time combat mode, and the combat experience is free and refreshing. The game depicts the legend of the White Snake, one of China's four major love myths and legends, in a realistic and aesthetic style, and takes the popular TV series ""the legend of the new white lady"" as the plot blueprint to bring players a new play experience and beautiful plot memoriesSynopsis of the storyA good marriage, once in a thousand years. 1700 years ago, the shepherd boy saved a white snake from the snake catcher. In order to repay the kindness of saving lives, the White Snake, after 1700 years of cultivation, turned into a human shape and became a beautiful woman Bai Suzhen. Together with the smart woman Xiaoqing, who was transformed by the green snake, she experienced the world affairs. She and the shepherd boy of that year have now become a handsome, hardworking and promising scholar Xu Xian, performing a love story of gratitude, gratitude and resentmentGame chapterThe game is divided into: illusory human shape, borrowing umbrella, fairy mountain, stealing treasure, Jinshan and so on. Players can not only enjoy the beautiful scenery of Hangzhou and Qingcheng Mountain, feel the style of the Southern Song Dynasty, but also experience the fun of real-time combatGame featuresThe game contains a wealth of prop systems, which players can obtain by picking up or rewarding silver transactions. In addition to ordinary attacks, the protagonist also has five attack skills of gold, wood, water, fire and earth. The combination of skills can achieve perfect attack effect. The game contains a variety of tasks for players to choose from. Players can also watch dragon boat racing, play pot throwing games and experience the entertainment of the ancients",1287
3,1989930,Drone Tinkerer,"THE GAMEDrone Tinkerer is your drone racing and fighting experience.Based on the imagination of near-future technology, we have created for you a world to explore and challenge opponents in exciting races.With constant upgrades and modifications, create your one-of-a-kind drones, win more races and explore more corners of the city that can't be reached.You can pursue the ultimate speed and ultra-lightweight to leave all opponents behind, wear heavy armor and spikes to come out on top in a melee, carry small homing missiles and blast all enemies in front of you, or just a piece of art combining cool looking mods and exhibit it in your garage. It's all up to you.RPG ELEMENTSIn this city full of mysteries, there are too many incomprehensible events and formidable opponents. Defeat them, gain stronger boosts and mods, get more reputation, discover the top and bottom secrets of this world and find your real self.WORLDA huge and strangely mega-structure made as a conglomerate of steel, full of billboards and advanced technology, a bottomless pit full of drones that seems uninhabited. What secrets are hidden behind all this? What kind of roles are given to humans and drones in this unexpected reality? Get ready for your next challenge in Drone Tinkerer.CRAFTINGDrone Tinkerer world is full of resources that you can find, collect, win or purchase. Use them cautiously to unlock new upgrades for your drone and don't forget to look for the blueprints as well.Drone Tinkerer is an open-world racing game with many RPG elements. In a sci-fi world full of secrets, defeat your racing opponents with speed or weapons, modify your unique drones with hundreds of upgrades, and experience mini-games and riddles to keep getting stronger to discover the truth.",0
4,1989940,Hentai Packer,"Pack sexy girl called Lucy into tight spaces in this high quality puzzle game. Featuring polished and fun gameplay, and very high quality CG renders.Features: High quality CG renders of Lucy 30 levels of increasing difficulty Very fun and polished gameplay. Spicy image on each game tile as well as full renders available in the gallery Increasing difficulty from absolutely trivial to challenging. Different levels with different tiles, obstacles and game area sizeYour goal is to fit all the tiles into the game area, avoiding possible obstacles. You can drag and drop tiles and rotate them in space. Each level you will unlock new tiles with various shapes and images. The game escalates in complexity, in the first levels you will learn how to play (no boring tutorial needed) and in the later levels you will scratch your head and ponder!",144
5,1989950,Snack Stall,"AboutThis game is a simulation fast food restaurant game.First of all, you have to play the role of the receptionist and firmly remember what the guests ordered. Only the correct dishes can bring income, and the wrong dishes must be compensated for the guests.Secondly, you have to fry eggs and steaks for the guests. Please remember the maturity of the omelettes and steaks that the guests want. The closer to the requirements of the guests, the higher the income.Third, you have to prepare drinks for the guests, according to the requirements of the guests, if it is wrong, it may lead to failure.Fourth, you have to make hamburgers for the guests. The guests will ask for a few pieces of meat, a few eggs, etc., and you need to record them immediately.FeatureThe difficulty of the game increases dramatically as the levels increase, making it ideal for those who are more than willing to challenge themselves.",365
6,1989960,AirShooShoo,"A unique platformer, where you have to collect stars and shards flying through challenging levels. Avoiding obstacles, having the most precise movements to squeeze in some more seconds. In single player mode the level difficulty increases slowly, giving plenty of time to enjoy and learn the challenging mechanics of flying between the platforms. You can go one step further and aim for speed! This game is especially designed for speedrunning, an homage to the style was deeply my intention. Playing against your own time, or against the Global Leaderboards.Challenge each other in online TimeTrials. Playing on the same level racing for the best time. Highly inspired by TrackMania Nations. A very fun mode with a high pressure sharp skill challenge.Let's Kill each other! Online, high speed, fast paced, tactical good old shooting! Head-On: The Ultimate Gravity Shooter is considered the predecessor of this game. Try that online was the ultimate goal! Hope you enjoy that mode, it is my favourite.Choose the skin of your ship, choose your trail, your weapons! Fine tune the engine, even the nitty-gritty details can be set to your taste. To perform on the highest level, you might need those.",0
7,1989970,Stuff Enuff: Plush Party,"Introducing Stuff Enuff, an engaging party game meticulously crafted with the competitive gaming community in focus. Departing from the unpredictability often associated with conventional party games, our aim is to place emphasis on skill and strategy, ensuring that the most adept players emerge victorious, rather than leaving outcomes to chance. Assume the role of one of eight charismatic Stuffed Animals and engage in spirited competition with your companions. The pinnacle of proficiency will undoubtedly prevail, providing ample opportunity for light-hearted banter among participants.Stuff Enuff is tailored for optimal 4-player participation, offering a diverse range of gameplay modes including Free-For-All, 3v1, and Tag Team challenges. With a plethora of captivating mini-games and an array of dynamic gameboards, an abundance of enjoyment and healthy rivalry is guaranteed. Whether pitting wits against friends, family, or even adversaries, assert your dominance and declare, ""I am Stuff Enuff!"".",0
8,1989990,Touhou Crisis,"This is a derivative fan-work of the Touhou Project series and is not affiliated with Team Shanghai Alice. Remember to support the official games on Steam.Take on a menacing boss with nothing but your gun, your reflexes, and your other, bigger gun in this short, arcade-style, lightgun game!Originally developed in 72 hours for the 6th Touhou Fan Game Jam, the game has since been polished into a complete experience!StoryOne leisurely spring day, a large crate landed in a certain shrine courtyard, piquing the curiosity of a shrine maiden and her magician friend lounging nearby. Inside were some guns and a treasure trove of ammunition.Unfamiliar with kinetic warfare, the two girls treated the weapons as toys and played until the sun went down. It was then that a rare guest made a surprise visit to the shrine gates.""So anyway, I started blastin'"", said the shrine maiden, recalling the incident.Also there are UFOs, but don't think about it. It's probably another Myouren Temple conspiracy. Two Playable Characters: Play as either Reimu with her powerful shotgun, or as Marisa with her full-auto assault rifle! Online Co-Op and Versus Modes: Bring along a friend to take out the boss together! If you're feeling competitive, compete with each other for a high score! Built for Lightgun Play: Everything from the gameplay, to the user interface itself, has been designed by a lightgun user, for lightgun users!  Gameplay Modifiers: Hard mode? Lunatic mode? Easy Modo??? Make your own dang difficulty level! You can live out your power fantasy with infinite lives! Alternatively, you can just give yourself 1 life, you masochist!",16378
9,1990000,Touhou Crisis - Artbook & Soundtrack,"If you enjoyed Touhou Crisis, consider showing your support by picking up some bonus content!Note: To access the DLC content, navigate to the game's install location and open the ""Artbook & Soundtrack"" FolderWhat's IncludedConcept Art: Take a look at our artist's work-in-progress sketches before we sent them back for revision!Character Sprites: Take a look at our artist's final drawings after they were sent back for revision!Soundtrack: Jam out to all 5 music tracks used in-game plus some bonus work-in-progress versions of said tracks!Work-in-Progress Screenshots: Check out some progress pics that we developers spammed on Discord while we were supposed to be working! Organized chronologically to better witness how the game evolved to where it is now.",
10,1989010,Syndeo-Complex Soundtrack,"The soundtrack of Syndeo-Complex contains 12 tracks composed by ddzevprod. Each of them offers a particular atmosphere that will help the player to better immerse himself in the game's universe. Mainly electro, the soundtrack will sometimes have a soft and melancholic tone during exploration, sometimes industrial metal to accompany epic fights!",
11,1989040,Drums Rock Demo,"Play the drums in virtual reality like a Rock Hero, and survive in hell fighting against demons and their boss!Features: Real Rock! Hard rock, heavy metal, Nu metal, among others. A wide variety of rock, with original music or hit groups! Stylish and crazy graphics, with a brutal finishing level TRUE Drums Set! A drums set that you will have to play and you can customize! More than 5h of only CAMPAIGN! Plus all the extras! Dozens of unlockables! Drumsticks, drums, songs... Intuitive gameplay for everyone. No dizziness. Play in a chair. Feel the rock n roll with advanced levels, make flourishes with the sticks and master the drums. PHASE enemies and boss, special levels and different worlds to discover. Online Ranking! Compete against your friends and beat their scores. Musical versions of other videogames!! Watch out! 4 levels of difficulty! For all levels and with a fair progression! More than 19 songs and new songs are incoming! With classic songs like ""I Love Rock 'N Roll"" by Joan Jett and ""Drink"" by ALESTORM and more! Spectacular boss battles!Soundtrack List: I Love Rock'n Roll - Joan Jett and the Blackhearts Mirror Mirror - Blind Guardian Demon's March - Original Soundtrack Drink - Alestorm Demon Blade - Original Soundtrack Runnin' Wild - Airborne Angels Charm - Original Soundtrack You Wanna Do It Too - Violet Road Burning Wheels - Original Soundtrack They Are Calling Me - Original Soundtrack Ruski Bruski - Professor Plumb Shining Sun - Original Soundtrack Her Voice - Original Soundtrack Your Lily - Original Soundtrack Obey - Original Soundtrack Fearless Honey Badger - Original Soundtrack Rule The Night - Original Soundtrack Here’s The Day - Original Soundtrack Broken - Original Soundtrack The Reaper's - Original Soundtrack Stone Virgins - Original Soundtrack Red Devil - John Verity",
